"BehaviorSpace results (NetLogo 6.2.0)"
"draft-adjusting.nlogo"
"virus-1"
"09/05/2021 05:50:16:705 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","no-of-nodes","average-node-degree","rural-pop","urban-pop","initial-outbreak-area","initial-outbreak-size","prob-infected","prob-recovered","prob-resistant","tourist-rate","[step]","%-sum-total-pop-i","%-sum-total-pop-i-urban","%-sum-total-pop-i-rural","%-sum-total-pop-r","%-sum-total-pop-r-urban","%-sum-total-pop-r-rural","mean-total-pop-i-%","mean-total-pop-i-%-urban","mean-total-pop-i-%-rural","mean-total-pop-r-%","mean-total-pop-r-%-urban","mean-total-pop-r-%-rural","var-total-pop-r-%","var-total-pop-r-%-urban","var-total-pop-r-%-rural"
"26","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03684763572679509","0.036955866523143165","0.03661984594472134","0.9093841214244016","0.909692142088267","0.9087358405074762","0.03671318101945946","0.0369007483662005","0.03646790064295195","0.9098647511762298","0.9100348363922979","0.9096423320475248","1.8008420096428958E-5","1.3133139703695067E-5","2.5073334525342372E-5"
"27","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03720373613543491","0.037466533272306764","0.03652586378025974","0.9081085814360771","0.9076824620170362","0.9092077356262994","0.03664509863832229","0.037332137964985156","0.03574666259576314","0.9089293265401105","0.908005235573897","0.9101377531882364","1.9935798418488572E-5","1.1881185445996543E-5","2.8685248721642932E-5"
"28","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03721461187214612","0.037419082263978","0.0366005763192981","0.9080902497985496","0.9076320462878094","0.9094662595157198","0.036525562325043365","0.03741901047197196","0.03508827617563653","0.9096952027159293","0.9075417058848272","0.9131595237050931","1.5186201041336828E-4","8.866841457707223E-6","3.724103666175553E-4"
"29","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03671175232942591","0.03683413523048076","0.03640238794575164","0.9091824466486323","0.9086885940442883","0.9104308269799697","0.036346754396984426","0.03698318517850042","0.03556889455290932","0.9099379977161596","0.908519394527719","0.911671846057588","2.926084307325676E-5","1.063450293587497E-5","4.7634887701875025E-5"
"30","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.037353191489361705","0.03743259898320752","0.037131165194917076","0.9084567375886525","0.9081035279617933","0.9094443247900065","0.03720214104758924","0.037446832927343444","0.036859572415933316","0.9090422625348469","0.9081456941483333","0.9102974582759659","1.6128883822907563E-5","1.0116493372952755E-5","2.2505051735363598E-5"
"32","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03591243208692873","0.03576475122034769","0.036131294222165815","0.9110770214125918","0.9117817076303845","0.9100326807754545","0.03567439837555538","0.03576907982089857","0.035573187175360926","0.9113861603387977","0.9123771839100734","0.9103267903143303","1.9749374084248143E-5","1.7022123032934634E-5","2.1127062145914113E-5"
"31","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03637100994243851","0.036616493823785685","0.035568708470601375","0.9104421768707484","0.9103962003041124","0.9105924395555307","0.03621869084883483","0.03635659501082013","0.035980492750860224","0.9107210272655458","0.9108802371086273","0.9104460284456781","1.9833188215690786E-5","1.7100278211343627E-5","2.5467659988977144E-5"
"33","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03600116754232341","0.03604966736316257","0.03587057276509517","0.9105925277291301","0.9104562448463306","0.9109594947077971","0.03545083005154575","0.03592041863256972","0.03483675267636056","0.9105946780868482","0.9105927748230114","0.9105971669703259","1.8429661296705956E-5","1.4856240409985423E-5","2.3883751950240703E-5"
"34","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03654579640075208","0.03648354547253182","0.03664354009181595","0.9095863550899812","0.909516586427488","0.9096959027993511","0.036315642687208396","0.03632760224997488","0.036296403390584035","0.9114648046569875","0.9096970755517181","0.9143085427828553","1.4874037359959103E-4","1.7543600357849417E-5","3.564770413782572E-4"
"36","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03606583573026526","0.03609846009810901","0.036003784014394094","0.9113454777884308","0.9111460029842304","0.9117248798946411","0.03578330769237791","0.03570910930414086","0.03586262321083819","0.9119685152812829","0.9117261615813519","0.9122275830294856","2.7560842616804724E-5","1.9998601052033893E-5","3.6513018613995545E-5"
